Disease_Entity	LSF_Entity	Relationship_Type	Publication_ID	Category	Disease_BRAT_ID	LSF_BRAT_ID	Disease_Entity_Span	LSF_Entity_Span	Abstract_Text
cardiovascular disease	vitamin E	Controls	10516985	dev	T38	T23	2981:3003	2728:2737	"Nutrition and dietary supplements. 
Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable. Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. Phenylpropanolamine is proven successful in weight loss. Both ephedrine and phenylpropanolamine have resulted in deaths and hence are worrisome [table: see text] as an over-the-counter dietary supplement. Other commonly used weight loss supplements like Cola acuminata, dwarf elder, Yohimbine, and Garcinia camborgia are either lacking controlled clinical trials, or in the case of the last two supplements, have clinical trials showing lack of effectiveness (although Garcinia has been successful in trials as part of a mixture with other substances, it is unclear if it was a necessary part of the mixture). Safety of these weight loss supplements is unknown. Chromium as a body building supplement for athletes appears to have no efficacy. Creatine may help more in weight lifting than sprinting, but insufficient study subjects and safety information make more studies necessary. Carbohydrate loading is used commonly before endurance competitions, but may be underused as it may be beneficial for other sport performances. Supplements for muscle injury or cramps have had too few studies to determine efficacy. Although proper rehydration with fluids and electrolytes is necessary, a paucity of actual studies to maximize prophylactic treatment for exercise induced cramping still exists. Nutritional supplements for cardiovascular disorders are generally geared to prevention. The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. The data on vitamin E are the most confusing. This vitamin was not helpful in cerebrovascular prevention in China and not helpful at relatively small doses (50 mg) in the United States or Finland against major coronary events. Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial. Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. Both of these clinical trials need to be repeated in other developed country populations. Some nutritional and dietary supplements are justifiably useful at this point in time. Several meet the criteria of a late Phase 3 FDA clinical trial (where it would be released for public use), but many dietary supplements have insufficient numbers of studies. Some deaths also have occurred with some supplements. If these supplements were required to undergo clinical trials necessary for a new drug by the FDA, they would not be released yet to the public. Several nontoxic supplements appear promising, though need further study. Because they have essentially no toxicity (such as folic acid with B12, soluble fiber, and vitamin E) and may have efficacy, some of these supplementations may be useful now, without randomized clinical trials."
hypertension	low meat, high fruit, and vegetable DASH diet	Controls	10516985	dev	T17	T16	2308:2320	2235:2280	"Nutrition and dietary supplements. 
Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable. Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. Phenylpropanolamine is proven successful in weight loss. Both ephedrine and phenylpropanolamine have resulted in deaths and hence are worrisome [table: see text] as an over-the-counter dietary supplement. Other commonly used weight loss supplements like Cola acuminata, dwarf elder, Yohimbine, and Garcinia camborgia are either lacking controlled clinical trials, or in the case of the last two supplements, have clinical trials showing lack of effectiveness (although Garcinia has been successful in trials as part of a mixture with other substances, it is unclear if it was a necessary part of the mixture). Safety of these weight loss supplements is unknown. Chromium as a body building supplement for athletes appears to have no efficacy. Creatine may help more in weight lifting than sprinting, but insufficient study subjects and safety information make more studies necessary. Carbohydrate loading is used commonly before endurance competitions, but may be underused as it may be beneficial for other sport performances. Supplements for muscle injury or cramps have had too few studies to determine efficacy. Although proper rehydration with fluids and electrolytes is necessary, a paucity of actual studies to maximize prophylactic treatment for exercise induced cramping still exists. Nutritional supplements for cardiovascular disorders are generally geared to prevention. The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. The data on vitamin E are the most confusing. This vitamin was not helpful in cerebrovascular prevention in China and not helpful at relatively small doses (50 mg) in the United States or Finland against major coronary events. Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial. Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. Both of these clinical trials need to be repeated in other developed country populations. Some nutritional and dietary supplements are justifiably useful at this point in time. Several meet the criteria of a late Phase 3 FDA clinical trial (where it would be released for public use), but many dietary supplements have insufficient numbers of studies. Some deaths also have occurred with some supplements. If these supplements were required to undergo clinical trials necessary for a new drug by the FDA, they would not be released yet to the public. Several nontoxic supplements appear promising, though need further study. Because they have essentially no toxicity (such as folic acid with B12, soluble fiber, and vitamin E) and may have efficacy, some of these supplementations may be useful now, without randomized clinical trials."
hyperhomocysteinemia	supplements	Treats	10516985	dev	T18	T21	2351:2371	2436:2447	"Nutrition and dietary supplements. 
Quality and number of subjects in blinded controlled clinical trials about the nutrition and dietary supplements discussed here is variable. Glucosamine sulfate and chondroitin sulfate have sufficient controlled trials to warrant their use in osteoarthritis, having less side effects than currently used nonsteroidal anti-inflammatory drugs, and are the only treatment shown to prevent progression of the disease. Dietary supplements of ephedrine plus caffeine for weight loss (weight loss being the current first line recommendation of physicians for osteoporosis) show some promise, but are not sufficient in number of study subjects. Phenylpropanolamine is proven successful in weight loss. Both ephedrine and phenylpropanolamine have resulted in deaths and hence are worrisome [table: see text] as an over-the-counter dietary supplement. Other commonly used weight loss supplements like Cola acuminata, dwarf elder, Yohimbine, and Garcinia camborgia are either lacking controlled clinical trials, or in the case of the last two supplements, have clinical trials showing lack of effectiveness (although Garcinia has been successful in trials as part of a mixture with other substances, it is unclear if it was a necessary part of the mixture). Safety of these weight loss supplements is unknown. Chromium as a body building supplement for athletes appears to have no efficacy. Creatine may help more in weight lifting than sprinting, but insufficient study subjects and safety information make more studies necessary. Carbohydrate loading is used commonly before endurance competitions, but may be underused as it may be beneficial for other sport performances. Supplements for muscle injury or cramps have had too few studies to determine efficacy. Although proper rehydration with fluids and electrolytes is necessary, a paucity of actual studies to maximize prophylactic treatment for exercise induced cramping still exists. Nutritional supplements for cardiovascular disorders are generally geared to prevention. The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. The data on vitamin E are the most confusing. This vitamin was not helpful in cerebrovascular prevention in China and not helpful at relatively small doses (50 mg) in the United States or Finland against major coronary events. Levels of 400 mg appeared to decrease cardiovascular disease in the United States in studies based on reports by patients and in one large clinical trial. Vitamin E also was successful in prevention of restenosis after PTCA in one clinical trial. Both of these clinical trials need to be repeated in other developed country populations. Some nutritional and dietary supplements are justifiably useful at this point in time. Several meet the criteria of a late Phase 3 FDA clinical trial (where it would be released for public use), but many dietary supplements have insufficient numbers of studies. Some deaths also have occurred with some supplements. If these supplements were required to undergo clinical trials necessary for a new drug by the FDA, they would not be released yet to the public. Several nontoxic supplements appear promising, though need further study. Because they have essentially no toxicity (such as folic acid with B12, soluble fiber, and vitamin E) and may have efficacy, some of these supplementations may be useful now, without randomized clinical trials."
POI	sleep quality	negative_statistical_association	31290760	dev	T16	T19	1485:1488	1512:1525	"Sleep quality and fatigue in women with premature ovarian insufficiency receiving hormone therapy: a comparative study. 
OBJECTIVE: To compare sleep quality and fatigue between women with premature ovarian insufficiency (POI) receiving hormone therapy (HT) and women of the same age with preserved ovarian function. METHODS: This was a cross-sectional study of 61 women with POI receiving HT (POI group) and 61 women with preserved ovarian function (control group) who were matched by age (+/-2 years). The Pittsburgh Sleep Quality Index (PSQI) and Chalder Fatigue Scale were used to assess sleep quality and fatigue. Apart from correlation analysis, the Mann-Whitney, chi-square, or Fisher test was used to compare the groups. RESULTS: Women from the POI and control groups were 35.03 +/- 7.68 and 34.49 +/- 7.55 years of age, respectively (P = 0.63). In the PSQI evaluation, the scores were 7.69 +/- 4.18 and 8.03 +/- 4.53, respectively (P = 0.79), showing no difference between the POI and control groups. However, the POI group had higher and therefore worse scores for the sleep latency component (1.74 +/- 0.66 and 1.18 +/- 0.87, respectively; P < 0.001) and use of medication to sleep (1.28 +/- 0.88 and 0. 85 +/- 0.8; P = 0.008). The POI group had a higher fatigue index than that of the control group (5.25 +/- 2.78 and 3.49 +/- 1.78, respectively; P < 0.001), with sleep quality being classified as poor in 69% and fatigue present in 59% of patients. CONCLUSIONS: Women with POI receiving HT have poor sleep quality. They take longer to fall asleep and have a higher fatigue index."
POI	sleep latency	positive_statistical_association	31290760	dev	T12	T13	1022:1025	1078:1091	"Sleep quality and fatigue in women with premature ovarian insufficiency receiving hormone therapy: a comparative study. 
OBJECTIVE: To compare sleep quality and fatigue between women with premature ovarian insufficiency (POI) receiving hormone therapy (HT) and women of the same age with preserved ovarian function. METHODS: This was a cross-sectional study of 61 women with POI receiving HT (POI group) and 61 women with preserved ovarian function (control group) who were matched by age (+/-2 years). The Pittsburgh Sleep Quality Index (PSQI) and Chalder Fatigue Scale were used to assess sleep quality and fatigue. Apart from correlation analysis, the Mann-Whitney, chi-square, or Fisher test was used to compare the groups. RESULTS: Women from the POI and control groups were 35.03 +/- 7.68 and 34.49 +/- 7.55 years of age, respectively (P = 0.63). In the PSQI evaluation, the scores were 7.69 +/- 4.18 and 8.03 +/- 4.53, respectively (P = 0.79), showing no difference between the POI and control groups. However, the POI group had higher and therefore worse scores for the sleep latency component (1.74 +/- 0.66 and 1.18 +/- 0.87, respectively; P < 0.001) and use of medication to sleep (1.28 +/- 0.88 and 0. 85 +/- 0.8; P = 0.008). The POI group had a higher fatigue index than that of the control group (5.25 +/- 2.78 and 3.49 +/- 1.78, respectively; P < 0.001), with sleep quality being classified as poor in 69% and fatigue present in 59% of patients. CONCLUSIONS: Women with POI receiving HT have poor sleep quality. They take longer to fall asleep and have a higher fatigue index."
POI	use of medication to sleep	positive_statistical_association	31290760	dev	T12	T24	1022:1025	1165:1191	"Sleep quality and fatigue in women with premature ovarian insufficiency receiving hormone therapy: a comparative study. 
OBJECTIVE: To compare sleep quality and fatigue between women with premature ovarian insufficiency (POI) receiving hormone therapy (HT) and women of the same age with preserved ovarian function. METHODS: This was a cross-sectional study of 61 women with POI receiving HT (POI group) and 61 women with preserved ovarian function (control group) who were matched by age (+/-2 years). The Pittsburgh Sleep Quality Index (PSQI) and Chalder Fatigue Scale were used to assess sleep quality and fatigue. Apart from correlation analysis, the Mann-Whitney, chi-square, or Fisher test was used to compare the groups. RESULTS: Women from the POI and control groups were 35.03 +/- 7.68 and 34.49 +/- 7.55 years of age, respectively (P = 0.63). In the PSQI evaluation, the scores were 7.69 +/- 4.18 and 8.03 +/- 4.53, respectively (P = 0.79), showing no difference between the POI and control groups. However, the POI group had higher and therefore worse scores for the sleep latency component (1.74 +/- 0.66 and 1.18 +/- 0.87, respectively; P < 0.001) and use of medication to sleep (1.28 +/- 0.88 and 0. 85 +/- 0.8; P = 0.008). The POI group had a higher fatigue index than that of the control group (5.25 +/- 2.78 and 3.49 +/- 1.78, respectively; P < 0.001), with sleep quality being classified as poor in 69% and fatigue present in 59% of patients. CONCLUSIONS: Women with POI receiving HT have poor sleep quality. They take longer to fall asleep and have a higher fatigue index."
POI	PSQI	NO_statistical_association	31290760	dev	T11	T18	985:988	860:864	"Sleep quality and fatigue in women with premature ovarian insufficiency receiving hormone therapy: a comparative study. 
OBJECTIVE: To compare sleep quality and fatigue between women with premature ovarian insufficiency (POI) receiving hormone therapy (HT) and women of the same age with preserved ovarian function. METHODS: This was a cross-sectional study of 61 women with POI receiving HT (POI group) and 61 women with preserved ovarian function (control group) who were matched by age (+/-2 years). The Pittsburgh Sleep Quality Index (PSQI) and Chalder Fatigue Scale were used to assess sleep quality and fatigue. Apart from correlation analysis, the Mann-Whitney, chi-square, or Fisher test was used to compare the groups. RESULTS: Women from the POI and control groups were 35.03 +/- 7.68 and 34.49 +/- 7.55 years of age, respectively (P = 0.63). In the PSQI evaluation, the scores were 7.69 +/- 4.18 and 8.03 +/- 4.53, respectively (P = 0.79), showing no difference between the POI and control groups. However, the POI group had higher and therefore worse scores for the sleep latency component (1.74 +/- 0.66 and 1.18 +/- 0.87, respectively; P < 0.001) and use of medication to sleep (1.28 +/- 0.88 and 0. 85 +/- 0.8; P = 0.008). The POI group had a higher fatigue index than that of the control group (5.25 +/- 2.78 and 3.49 +/- 1.78, respectively; P < 0.001), with sleep quality being classified as poor in 69% and fatigue present in 59% of patients. CONCLUSIONS: Women with POI receiving HT have poor sleep quality. They take longer to fall asleep and have a higher fatigue index."
hand eczema	water	Statistically_associated	3158473	dev	T7	T18	444:455	524:529	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
hand eczema	exposure to chemicals	Statistically_associated	3158473	dev	T7	T19	444:455	501:522	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
hand eczema	soil	Statistically_associated	3158473	dev	T7	T20	444:455	531:535	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
hand eczema	exposure to chemicals	Causes	3158473	dev	T25	T28	858:869	915:936	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
hand eczema	water	Causes	3158473	dev	T25	T29	858:869	938:943	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
hand eczema	soil	Causes	3158473	dev	T25	T30	858:869	945:949	"Work-related hand eczema in atopics. 
549 individuals with severe (group 1), 406 with moderate (group 2) atopic dermatitis in childhood, 222 with respiratory allergy but no atopic dermatitis in childhood (group 3), and 199 without personal or family atopy (group 4) were studied as to occupational health symptoms due to hand eczema. In groups 1, 2 and 4, there was a slightly significant difference (P less than 0.05) between the frequency of hand eczema in individuals with and without occupational exposure to chemicals, water, soil or wear (friction). Despite no such work, 55% in group 1 and 44% in group 2 had developed hand eczema. About 1/4 of the atopics in extreme risk occupations, such as ladies' hairdressers and nursing assistants, had not developed hand eczema. Altogether, 9% in groups 1 and 2 and 3% in group 4 had changed their jobs due to hand eczema, the majority from work with to work without exposure to chemicals, water, soil or wear. Social factors had usually contributed to the change. The healing rate after taking up a new occupation was 15% in group 1, 36% in group 2 and 67% (4 out of 6) in group 4. The majority of the patients whose eczema had not healed had improved in their new occupations. It is claimed that medical reasons for change of occupation should be carefully weighed against social reasons."
breast cancer	job of medium/heavy activity	NO_statistical_association	10398936	dev	T14	T17	1076:1089	1039:1067	"Occupational physical activity and breast cancer risk in the upper Cape Cod cancer incidence study. 
BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk. METHODS: Two hundred-thirty three incident cases of breast cancer and 670 controls or their next of kin were interviewed for information on breast cancer risk factors and a complete job history. Physical activity level of jobs were classified using a Department of Labor rating scheme. We calculated adjusted odds ratios for light and medium/heavy activity jobs compared to sedentary jobs. RESULTS: Odds ratios for women who held medium/heavy jobs for less than 10 years and more than ten years were, respectively, 0.7 (95% CI = 0.4,1.3) and 1.7 (95% CI = 0.9,3.3). CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. The study was limited by misclassification inherent in the occupational exposure scheme and by the lack of information on leisure time physical activity. The modest risk increase for subjects holding a medium/heavy job for at least 10 years probably represents either confounding or random variation."
breast cancer	leisure-time physical activity	negative_statistical_association	10398936	dev	T3	T5	149:162	241:271	"Occupational physical activity and breast cancer risk in the upper Cape Cod cancer incidence study. 
BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk. METHODS: Two hundred-thirty three incident cases of breast cancer and 670 controls or their next of kin were interviewed for information on breast cancer risk factors and a complete job history. Physical activity level of jobs were classified using a Department of Labor rating scheme. We calculated adjusted odds ratios for light and medium/heavy activity jobs compared to sedentary jobs. RESULTS: Odds ratios for women who held medium/heavy jobs for less than 10 years and more than ten years were, respectively, 0.7 (95% CI = 0.4,1.3) and 1.7 (95% CI = 0.9,3.3). CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. The study was limited by misclassification inherent in the occupational exposure scheme and by the lack of information on leisure time physical activity. The modest risk increase for subjects holding a medium/heavy job for at least 10 years probably represents either confounding or random variation."
breast cancer	occupational	negative_statistical_association	10398936	dev	T3	T11	149:162	225:237	"Occupational physical activity and breast cancer risk in the upper Cape Cod cancer incidence study. 
BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk. METHODS: Two hundred-thirty three incident cases of breast cancer and 670 controls or their next of kin were interviewed for information on breast cancer risk factors and a complete job history. Physical activity level of jobs were classified using a Department of Labor rating scheme. We calculated adjusted odds ratios for light and medium/heavy activity jobs compared to sedentary jobs. RESULTS: Odds ratios for women who held medium/heavy jobs for less than 10 years and more than ten years were, respectively, 0.7 (95% CI = 0.4,1.3) and 1.7 (95% CI = 0.9,3.3). CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. The study was limited by misclassification inherent in the occupational exposure scheme and by the lack of information on leisure time physical activity. The modest risk increase for subjects holding a medium/heavy job for at least 10 years probably represents either confounding or random variation."
COVID-19	alcohol use	positive_statistical_association	34037226	dev	T13	T12	828:836	758:769	"COVID-19 exposure and diagnosis among college student drinkers: links to alcohol use behavior, motives, and context. 
The COVID-19 pandemic is a public health crisis. College student alcohol use is highly prevalent and primarily occurs in social settings where risk for COVID-19 transmission is heightened. This study explored the associations between alcohol use frequency, quantity, motives, and context with: (i) quarantine due to COVID-19 exposure and (ii) a positive diagnosis for COVID-19. A sample of n = 409 college student drinkers completed an online survey about their health and behaviors during the Fall 2020 semester. Since the start of the semester, 36% of students quarantined and 13% of students received a COVID-19 diagnosis. More frequent alcohol use was associated with increased odds of both quarantine and COVID-19 diagnosis. More frequent drinking for social motives was associated with increased likelihood of quarantine, and more frequent drinking for conformity motives was associated with increased likelihood of COVID-19 diagnosis. Participants who often drank alone or with a small group of friends were about half as likely to have quarantined, while those who often drank with a large group of friends were almost twice as likely to have quarantined. Participants who often drank in a bar or nightclub had almost three times the odds of a COVID-19 diagnosis. Frequent alcohol use and drinking for social and conformity motives and in certain contexts are linked to increased likelihood of COVID-19 exposure and diagnosis. Alcohol use prevention efforts, coupled with messaging to discourage large social gatherings in public places, might help to mitigate the spread of COVID-19 among college students."
COVID-19	nightclub	positive_statistical_association	34037226	dev	T16	T15	1370:1378	1323:1332	"COVID-19 exposure and diagnosis among college student drinkers: links to alcohol use behavior, motives, and context. 
The COVID-19 pandemic is a public health crisis. College student alcohol use is highly prevalent and primarily occurs in social settings where risk for COVID-19 transmission is heightened. This study explored the associations between alcohol use frequency, quantity, motives, and context with: (i) quarantine due to COVID-19 exposure and (ii) a positive diagnosis for COVID-19. A sample of n = 409 college student drinkers completed an online survey about their health and behaviors during the Fall 2020 semester. Since the start of the semester, 36% of students quarantined and 13% of students received a COVID-19 diagnosis. More frequent alcohol use was associated with increased odds of both quarantine and COVID-19 diagnosis. More frequent drinking for social motives was associated with increased likelihood of quarantine, and more frequent drinking for conformity motives was associated with increased likelihood of COVID-19 diagnosis. Participants who often drank alone or with a small group of friends were about half as likely to have quarantined, while those who often drank with a large group of friends were almost twice as likely to have quarantined. Participants who often drank in a bar or nightclub had almost three times the odds of a COVID-19 diagnosis. Frequent alcohol use and drinking for social and conformity motives and in certain contexts are linked to increased likelihood of COVID-19 exposure and diagnosis. Alcohol use prevention efforts, coupled with messaging to discourage large social gatherings in public places, might help to mitigate the spread of COVID-19 among college students."
COVID-19	alcohol use	positive_statistical_association	34037226	dev	T18	T17	1520:1528	1399:1410	"COVID-19 exposure and diagnosis among college student drinkers: links to alcohol use behavior, motives, and context. 
The COVID-19 pandemic is a public health crisis. College student alcohol use is highly prevalent and primarily occurs in social settings where risk for COVID-19 transmission is heightened. This study explored the associations between alcohol use frequency, quantity, motives, and context with: (i) quarantine due to COVID-19 exposure and (ii) a positive diagnosis for COVID-19. A sample of n = 409 college student drinkers completed an online survey about their health and behaviors during the Fall 2020 semester. Since the start of the semester, 36% of students quarantined and 13% of students received a COVID-19 diagnosis. More frequent alcohol use was associated with increased odds of both quarantine and COVID-19 diagnosis. More frequent drinking for social motives was associated with increased likelihood of quarantine, and more frequent drinking for conformity motives was associated with increased likelihood of COVID-19 diagnosis. Participants who often drank alone or with a small group of friends were about half as likely to have quarantined, while those who often drank with a large group of friends were almost twice as likely to have quarantined. Participants who often drank in a bar or nightclub had almost three times the odds of a COVID-19 diagnosis. Frequent alcohol use and drinking for social and conformity motives and in certain contexts are linked to increased likelihood of COVID-19 exposure and diagnosis. Alcohol use prevention efforts, coupled with messaging to discourage large social gatherings in public places, might help to mitigate the spread of COVID-19 among college students."
COVID-19	drank in a bar	positive_statistical_association	34037226	dev	T16	T30	1370:1378	1305:1319	"COVID-19 exposure and diagnosis among college student drinkers: links to alcohol use behavior, motives, and context. 
The COVID-19 pandemic is a public health crisis. College student alcohol use is highly prevalent and primarily occurs in social settings where risk for COVID-19 transmission is heightened. This study explored the associations between alcohol use frequency, quantity, motives, and context with: (i) quarantine due to COVID-19 exposure and (ii) a positive diagnosis for COVID-19. A sample of n = 409 college student drinkers completed an online survey about their health and behaviors during the Fall 2020 semester. Since the start of the semester, 36% of students quarantined and 13% of students received a COVID-19 diagnosis. More frequent alcohol use was associated with increased odds of both quarantine and COVID-19 diagnosis. More frequent drinking for social motives was associated with increased likelihood of quarantine, and more frequent drinking for conformity motives was associated with increased likelihood of COVID-19 diagnosis. Participants who often drank alone or with a small group of friends were about half as likely to have quarantined, while those who often drank with a large group of friends were almost twice as likely to have quarantined. Participants who often drank in a bar or nightclub had almost three times the odds of a COVID-19 diagnosis. Frequent alcohol use and drinking for social and conformity motives and in certain contexts are linked to increased likelihood of COVID-19 exposure and diagnosis. Alcohol use prevention efforts, coupled with messaging to discourage large social gatherings in public places, might help to mitigate the spread of COVID-19 among college students."
